FP kddcup99 time
	PrePost+	LCMFreq	PrePost	H-Mine	FPGrowth	Eclat	Apriori	Relim
0,8	2908,8	2991,6	2841,8	2938,2	2947,0	2065,4	1427,4	2952,4
0,775	3083,6	3957,2	3115,6	3782,0	3211,2	4985,0	1446,2	4398,8
0,75	3121,6	4728,6	3125,2	4327,0	3175,4	8157,6	1451,2	5746,4
0,725	3227,6	6324,2	3223,2	5298,4	3271,0	12023,4	1451,6	16112,4
0,7	3231,8	8418,6	3218,8	5900,8	3286,4	15121,8	1447,8	16100,8
0,6749999999999999	3255,4	10306,6	3253,0	9205,0	3325,4	21011,2	1474,6	24049,8
0,6499999999999999	3319,4	12178,6	3323,8	11290,8	3381,2	32116,2	1447,6	51704,6
0,6249999999999999	3342,6	12318,2	3318,2	11359,0	3390,2	32496,2	1452,6	51684,8
0,5999999999999999	3319,6	12192,8	3320,4	10750,4	3402,2	32633,4	1448,8	51750,4
0,5749999999999998	3319,6	13239,0	3315,4	11269,0	3378,2	34478,0	1459,6	51807,2
0,5499999999999998	3350,0	22945,8	3344,0	15476,6	3426,2	58485,4	1445,8	93044,2
0,5249999999999998	3345,8	37421,6	3350,2	21615,2	3408,8	98359,2	1450,0	93003,4
