FP onlineRetail memory
	PrePost+	LCMFreq	PrePost	H-Mine	FPGrowth	Eclat	Apriori	Relim
0,01	1252,5704956054688	1234,1481475830078	1234,137484741211	1234,137516784668	1252,5704727172852	528,9160812377929	528,916064453125	1234,156558227539
0,009000000000000001	1234,1375305175782	1234,1480743408204	1234,1374542236329	1234,1375366210937	1234,1374618530274	528,9160873413086	528,9160552978516	1234,1374679565429
0,008	1234,137483215332	1252,5811325073241	1252,5704772949218	1252,5704803466797	1234,1374710083007	528,9160552978516	528,9160430908203	1234,1374938964843
0,007000000000000001	1234,137466430664	1252,5811126708984	1234,137466430664	1234,4247207641602	1252,570460510254	547,3490570068359	528,9160552978516	1252,570523071289
0,006	1234,1374649047852	1234,1480895996094	1234,1374710083007	1234,137533569336	1234,1374649047852	528,9160552978516	528,9160430908203	1410,4429779052734
0,005	1234,137503051758	1234,1481018066406	1234,1375061035155	1271,0034896850586	1234,1374710083007	528,9160552978516	528,9160552978516	1410,4428634643555
0,004	1234,1374816894531	1410,453921508789	1252,5704711914063	1410,4428466796876	1234,1374572753907	528,9160552978516	547,3490570068359	1428,876350402832
0,003	1234,1374588012695	1410,4544052124024	1234,1374771118165	1428,8758728027344	1234,1374618530274	528,9160552978516	547,3490447998047	1586,7489685058595
0,002	1234,137469482422	1410,4604949951172	1234,137469482422	1410,4437698364259	1234,1374771118165	705,2214141845703	528,9160552978516	1763,0540786743163
0,001	1234,1375091552734	1586,7588287353515	1234,1375213623046	1586,7509704589843	1252,570491027832	705,2216064453125	528,9160461425781	2291,974713134766
