closedFP kddcup99 size
	FPClose	Charm	LCM	DCIClosed	AprioriClose
0,8	0,0	0,0	0,0	0,0	0,0
0,775	32,0	32,0	32,0	32,0	32,0
0,75	64,0	64,0	64,0	64,0	64,0
0,725	99,0	99,0	99,0	99,0	99,0
0,7	132,0	132,0	132,0	132,0	132,0
0,6749999999999999	164,0	164,0	164,0	164,0	164,0
0,6499999999999999	199,0	199,0	199,0	197,0	199,0
0,6249999999999999	200,0	200,0	200,0	197,0	200,0
0,5999999999999999	202,0	202,0	202,0	197,0	202,0
0,5749999999999998	226,0	226,0	226,0	212,0	226,0
0,5499999999999998	474,0	474,0	474,0	308,0	474,0
0,5249999999999998	787,0	787,0	787,0	466,0	787,0
