closedFP kddcup99 time
	FPClose	Charm	LCM	DCIClosed	AprioriClose
0,8	3007,0	805,2	2939,8	3972,4	2274,8
0,775	3129,0	2330,6	5156,8	7985,8	2738,8
0,75	3172,6	4373,0	7908,8	12297,2	3062,2
0,725	3270,6	6368,8	13355,4	21353,6	3635,0
0,7	3270,6	8798,8	17379,2	24872,8	3863,6
0,6749999999999999	3329,6	11008,6	19614,0	28166,2	4544,8
0,6499999999999999	3380,2	13842,0	25251,0	34478,2	5479,0
0,6249999999999999	3378,6	13898,4	25200,8	34429,6	5493,4
0,5999999999999999	3389,8	13962,2	25217,4	34433,2	5499,8
0,5749999999999998	3381,4	15067,4	25852,6	36136,4	5671,4
0,5499999999999998	3442,8	29592,2	41341,0	44188,0	7734,8
0,5249999999999998	3427,4	50673,2	58001,6	58165,4	11648,2
