closedFP onlineRetail memory
	FPClose	Charm	LCM	DCIClosed	AprioriClose
0,01	1238,6139469146729	1065,2057857513428	1238,620470046997	1041,9214096069336	891,3074760437012
0,009000000000000001	1215,572717666626	1042,1672039031982	1215,5792236328125	1041,9214115142822	868,2662162780762
0,008	1238,6139526367188	1238,9263191223145	1238,6204929351807	1041,9213981628418	868,2662220001221
0,007	1215,57271194458	1389,6028747558594	1215,5792407989502	1064,962646484375	868,2662239074707
0,006	1238,6139736175537	1563,3206462860107	1215,5791931152344	1041,9213981628418	891,3074779510498
0,005	1215,5727005004883	1910,7563037872314	1258,6881885528564	1041,9214134216309	868,2662258148193
0,004	1215,5727005004883	2431,9095344543457	1412,2754707336426	1128,450387954712	650,590353012085
0,0022500000000000003	933,8677272796631	2496,093818664551	1040,9505634307861	910,8284244537354	650,590353012085
0,0015	910,8264999389648	4685,865991592407	1051,5266704559326	920,0509052276611	657,1624774932861
7,5E-4	920,0274963378906	6871,7917766571045	1087,779769897461	1044,3566493988037	652,7213878631592
