FP kddcup99 size
	PrePost+	LCMFreq	PrePost	H-Mine	FPGrowth	Eclat	Apriori	Relim
0,8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
0,775	32,0	32,0	32,0	32,0	32,0	32,0	0,0	32,0
0,75	64,0	64,0	64,0	64,0	64,0	64,0	0,0	64,0
0,725	100,0	100,0	100,0	100,0	100,0	100,0	0,0	100,0
0,7	134,0	134,0	134,0	134,0	134,0	134,0	0,0	134,0
0,6749999999999999	198,0	198,0	198,0	198,0	198,0	198,0	0,0	198,0
0,6499999999999999	265,0	265,0	265,0	265,0	265,0	265,0	0,0	265,0
0,6249999999999999	267,0	267,0	267,0	267,0	267,0	267,0	0,0	267,0
0,5999999999999999	269,0	269,0	269,0	269,0	269,0	269,0	0,0	269,0
0,5749999999999998	294,0	294,0	294,0	294,0	294,0	294,0	0,0	294,0
0,5499999999999998	542,0	542,0	542,0	542,0	542,0	542,0	0,0	542,0
0,5249999999999998	965,0	965,0	965,0	965,0	965,0	965,0	0,0	965,0
