FP onlineRetail size
	PrePost+	LCMFreq	PrePost	H-Mine	FPGrowth	Eclat	Apriori	Relim
0,01	140,0	140,0	140,0	140,0	140,0	140,0	0,0	140,0
0,009000000000000001	164,0	164,0	164,0	164,0	164,0	164,0	0,0	164,0
0,008	199,0	199,0	199,0	199,0	199,0	199,0	0,0	199,0
0,007000000000000001	244,0	244,0	244,0	244,0	244,0	244,0	0,0	244,0
0,006	294,0	294,0	294,0	294,0	294,0	294,0	0,0	294,0
0,005	394,0	394,0	394,0	394,0	394,0	394,0	0,0	394,0
0,004	540,0	540,0	540,0	540,0	540,0	540,0	0,0	540,0
0,003	806,0	806,0	806,0	806,0	806,0	806,0	0,0	806,0
0,002	1756,0	1756,0	1756,0	1756,0	1756,0	1756,0	0,0	1756,0
0,001	5693,0	5693,0	5693,0	5693,0	5693,0	5693,0	0,0	5693,0
