FP onlineRetail time
	PrePost+	LCMFreq	PrePost	H-Mine	FPGrowth	Eclat	Apriori	Relim
0,01	922,4	2935,6	903,4	901,0	801,4	4010,2	319,0	1044,0
0,009000000000000001	873,2	3268,6	870,4	927,6	796,8	4584,4	319,0	1026,2
0,008	884,8	3648,4	887,0	925,8	803,0	5348,4	319,4	1094,2
0,007000000000000001	911,8	4233,0	914,4	943,2	812,4	6478,0	319,6	1149,6
0,006	933,6	4820,0	934,0	967,8	818,8	7648,2	318,8	1214,4
0,005	959,2	5616,8	960,2	995,8	824,4	9700,4	318,2	1304,0
0,004	985,6	6675,2	986,0	1020,2	834,0	12601,8	319,4	1408,8
0,003	1025,8	8282,8	1027,2	1057,6	844,4	17645,0	318,4	1593,4
0,002	1086,8	12083,2	1087,2	1136,6	856,4	34085,8	320,8	2016,4
0,001	1166,8	19394,0	1167,2	1248,4	879,6	96373,8	324,4	2919,0
