closedFP onlineRetail time
	FPClose	Charm	LCM	DCIClosed	AprioriClose
0,01	852,5	2241,0	2979,25	2560,0	11347,75
0,009000000000000001	813,75	2564,75	3306,75	2860,75	14754,75
0,008	817,5	2912,0	3657,5	3128,0	18351,5
0,007	827,75	3423,0	4362,75	3691,25	26578,25
0,006	839,75	4086,5	4925,25	4473,25	35445,0
0,005	851,75	5143,5	5796,5	5075,0	49386,5
0,004	859,75	6569,5	6789,75	6011,75	52889,25
0,0022500000000000003	647,0	6848,0	6300,75	5582,25	84701,75
0,0015	656,25	11276,75	9145,25	7906,5	186402,25
7,5E-4	673,0	23062,5	15049,75	11842,5	498708,25
