;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.8;5625;5183;5262;5903;4754;8373;2704;4656
0.775;4394;5597;5383;5827;5559;12199;2196;6565
0.75;4936;7941;5080;6899;4561;21416;2090;6924
0.725;4610;12253;5236;11850;5301;16823;2072;20955
0.7;5877;10179;5191;11357;4637;31358;2943;21431
0.6749999999999999;4929;12638;4474;9929;3750;30622;2538;29226
0.6499999999999999;4070;14255;4055;11843;4861;36949;1657;76164
0.6249999999999999;4602;15898;3719;11862;4308;38717;1649;74005
0.5999999999999999;4349;15466;4649;12535;3970;37698;1737;81670
0.5749999999999998;3866;21863;8235;20507;6440;62361;1693;134230
0.5499999999999998;6564;33660;4177;20568;4024;64294;1692;195657
0.5249999999999998;4091;43544;4411;26278;4111;112981;1906;156413
