;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;849;2939;858;895;788;3981;318;991
0.009000000000000001;872;3296;869;896;796;4584;316;1024
0.008;887;3631;883;915;801;5354;317;1062
0.007;913;4250;914;940;809;6476;321;1141
0.006;933;4814;938;964;817;7651;319;1215
0.005;962;5607;958;996;824;9691;316;1296
0.004;989;6644;992;1025;832;12564;319;1415
0.003;1027;8288;1023;1056;839;17631;320;1594
0.002;1089;12068;1085;1140;855;34060;320;2025
0.001;1172;19391;1168;1242;875;96429;321;2932
