;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.8;2966;805;2982;3996;2304
0.775;3153;2327;5129;8111;2688
0.75;3178;4372;7918;12532;3002
0.725;3283;6447;13423;21976;3478
0.7;3270;8830;17281;25482;3850
0.6749999999999999;3313;11013;19511;28818;4550
0.6499999999999999;3389;13858;25285;35489;5479
0.6249999999999999;3387;13907;25195;35377;5499
0.5999999999999999;3385;13985;25170;35360;5501
0.5749999999999998;3390;15073;25829;36444;5652
0.5499999999999998;3435;29607;41306;44261;7725
0.5249999999999998;3429;50732;58240;57691;11646
