;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.01;1215.760269165039;1042.3158493041992;1215.776268005371;1042.0802536010742;868.4002151489258
0.009000000000000001;1215.7603225708008;1042.3157806396484;1215.7762985229492;1042.0802536010742;868.4001846313477
0.008;1215.7603073120117;1216.0605087280273;1307.941307067871;1042.0802688598633;868.4001846313477
0.007;1215.7603149414062;1389.8051223754883;1215.7762985229492;1134.245262145996;868.4002151489258
0.006;1307.9253540039062;1563.5497131347656;1215.776268005371;1042.0802536010742;868.4002151489258
0.005;1215.7602767944336;1911.0389709472656;1215.776268005371;1042.0802536010742;868.4002151489258
0.004;1215.7602920532227;2432.2724685668945;1389.4563369750977;1215.7603073120117;868.4001846313477
0.003;1307.925308227539;3300.9955291748047;1389.4563369750977;1215.7603149414062;868.4001846313477
0.002;1215.7602844238281;6254.587959289551;1406.9646530151367;1231.0781021118164;879.2745590209961
0.001;1230.9843978881836;9216.5;1394.8541870117188;1394.852928161621;871.7818603515625
