;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.8;0;0;0;0;0;0;0;0
0.775;32;32;32;32;32;32;32;32
0.75;64;64;64;64;64;64;64;64
0.725;100;100;100;100;100;100;100;100
0.7;134;134;134;134;134;134;134;134
0.6749999999999999;198;198;198;198;198;198;198;198
0.6499999999999999;265;265;265;265;265;265;265;265
0.6249999999999999;267;267;267;267;267;267;267;267
0.5999999999999999;269;269;269;269;269;269;269;269
0.5749999999999998;294;294;294;294;294;294;294;294
0.5499999999999998;542;542;542;542;542;542;542;542
0.5249999999999998;965;965;965;965;965;965;965;965
