;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.8;2854;2906;2859;2970;2938;2058;2280;2939
0.775;3056;3842;3057;3756;3109;4753;2651;4330
0.75;3086;4603;3083;4337;3141;7841;2972;5671
0.725;3168;6160;3165;5325;3235;11433;3436;15179
0.7;3168;7699;3164;5923;3230;14501;3801;15205
0.6749999999999999;3189;9576;3185;8603;3269;20118;4751;22303
0.6499999999999999;3232;11653;3240;10675;3331;29386;5468;47820
0.6249999999999999;3231;11423;3230;10665;3334;29390;5510;47863
0.5999999999999999;3235;11414;3236;9803;3340;29551;5474;47921
0.5749999999999998;3235;12542;3234;10649;3335;31649;5632;47878
0.5499999999999998;3268;21410;3275;14722;3372;53028;7702;85327
0.5249999999999998;3259;34881;3260;20446;3366;90467;11644;85288
