;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.8;3189;2957;2895;2961;2992;2400;1498;2969
0.775;3116;4192;3343;3766;3173;5963;1543;4102
0.75;3499;5378;3146;4609;3212;8702;1540;4912
0.725;3252;7829;3290;6346;3348;13531;1524;13515
0.7;3331;8631;3365;7166;3378;16387;1732;14110
0.6749999999999999;3290;11116;3319;8745;3397;21759;1510;29631
0.6499999999999999;3451;14007;3464;10655;3527;27025;1499;63276
0.6249999999999999;3395;15001;3604;10606;3714;27632;1498;58516
0.5999999999999999;3361;13754;3490;10909;3665;27820;1499;60960
0.5749999999999998;3368;14430;3405;11469;3672;30063;1505;56483
0.5499999999999998;3374;23212;3532;15749;3503;52946;1616;122306
0.5249999999999998;3636;38147;3375;20205;3722;97113;1552;126422
