;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;159.8991241455078;253.30210876464844;140.67401885986328;193.0481185913086;495.1119613647461;437.06346893310547;499.38829803466797;219.76981353759766
0.009000000000000001;1067.0;212.82159423828125;100.93292236328125;159.12863159179688;503.24861907958984;447.7500915527344;498.6952590942383;211.0406723022461
0.008;101.31207275390625;233.36385345458984;121.76053619384766;180.1606674194336;501.25856018066406;463.133544921875;505.13346099853516;244.10337829589844
0.007;122.7279052734375;233.14842987060547;121.78260040283203;223.17066192626953;501.5702819824219;463.1250686645508;505.18052673339844;266.1971130371094
0.006;122.72079467773438;254.1907501220703;121.797119140625;244.83275604248047;500.83995056152344;483.9838180541992;504.45384216308594;308.1687774658203
0.005;122.64061737060547;274.67604064941406;121.75810241699219;266.54752349853516;500.6128692626953;483.0142364501953;503.9823455810547;312.70753479003906
0.004;81.62036895751953;236.82869720458984;60.606048583984375;217.27069854736328;1087.4392013549805;511.6560821533203;507.0073547363281;1110.0
0.003;1102.5066757202148;1137.5;1096.5696640014648;1164.0;1095.3106384277344;533.4570007324219;513.2455749511719;1181.0
0.002;1103.7855987548828;1179.5;1110.315803527832;1175.0;1094.01220703125;584.0807189941406;490.5025100708008;1183.0
0.001;1110.970718383789;1172.5;1133.0948181152344;1181.5;1120.167579650879;720.3508453369141;512.4987411499023;1188.0
