;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;871;2831;868;910;851;4726;340;1145
0.009000000000000001;909;1811;883;917;855;5036;333;1037
0.008;900;1959;898;945;854;5905;332;1075
0.007;1008;2365;1049;1111;906;7606;334;1150
0.006;938;2341;952;981;872;8471;335;1216
0.005;1057;2891;1072;1095;881;10836;334;1292
0.004;993;2918;987;1036;894;14894;332;1480
0.003;1080;3403;1016;1069;911;20517;332;1562
0.002;1075;4662;1070;1141;915;39904;334;1989
0.001;1138;7133;1211;1357;951;114101;331;2916
