;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.8;3207;867;3252;5256;2647
0.775;3659;2642;4859;7214;2773
0.75;3420;4857;7208;8230;3074
0.725;3771;7052;11084;9358;3600
0.7;3533;9559;11833;11056;4300
0.6749999999999999;3603;11869;16317;13740;4818
0.6499999999999999;3814;14863;21989;15118;5814
0.6249999999999999;3723;14924;21026;14837;5891
0.5999999999999999;3692;14833;22324;14668;6240
0.5749999999999998;3687;15764;23963;14999;6372
0.5499999999999998;3791;31246;42280;19120;8584
0.5249999999999998;3835;53415;61135;23858;12596
