;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.8;3060;2995;2876;2973;2970;1930;1425;2974
0.775;3161;4116;3129;3735;3165;4883;1576;4032
0.75;3171;5384;3246;4761;3286;7820;1448;5077
0.725;3330;7722;3171;5933;3453;11506;1445;14416
0.7;3326;8233;3200;6955;3350;14592;1434;13874
0.6749999999999999;3407;10850;3276;8343;3409;19611;1436;24436
0.6499999999999999;3392;13528;3492;9526;3514;26593;1440;72910
0.6249999999999999;3610;15610;3573;11486;3701;29511;1563;62506
0.5999999999999999;3591;14998;3577;11506;3590;29182;1569;68298
0.5749999999999998;3419;16001;3577;12043;3495;30496;1512;60210
0.5499999999999998;3417;25539;3582;15345;3773;55713;1518;120248
0.5249999999999998;3548;40349;3700;22815;3542;98409;1559;131124
