;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;1069.8218383789062;1180.0;1083.8113021850586;1138.253189086914;1079.405532836914;451.8649444580078;499.3596496582031;1173.267478942871
0.009000000000000001;1067.860221862793;1172.3348770141602;1067.2461624145508;1147.995719909668;1076.4299392700195;453.7411346435547;502.87735748291016;1171.5484085083008
0.008;1090.7681427001953;1200.333610534668;1090.8484268188477;1147.8896179199219;1076.4402542114258;453.78653717041016;502.8800048828125;1195.4366836547852
0.007;1090.8996505737305;1199.9665451049805;1090.9380111694336;1195.777084350586;1076.7897567749023;477.74996185302734;502.97188568115234;1219.6215362548828
0.006;1091.1226348876953;1220.5;1093.109504699707;1196.7306289672852;1077.3299102783203;477.88865661621094;503.1201629638672;1220.5
0.005;1079.8282089233398;1236.1193313598633;1075.3506088256836;1232.6161651611328;1084.6196975708008;497.65843200683594;492.50460052490234;1257.5
0.004;1079.0553283691406;1252.0;1096.9328079223633;1259.5;1087.6613388061523;523.303337097168;499.0694122314453;1277.0
0.003;1100.325180053711;1223.0;1093.2785415649414;1218.0;1080.6097793579102;525.2863693237305;505.9205017089844;1218.0
0.002;1097.5090637207031;1204.0;1104.2127532958984;1195.0;1086.3111267089844;592.4632110595703;497.5593490600586;1201.0
0.001;1119.4551849365234;1185.5;1113.7077865600586;1189.5;1102.289779663086;723.7247009277344;490.8014678955078;1191.9484481811523
