;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;1237;3632;987;1144;994;4504;332;1318
0.009000000000000001;860;3355;859;1106;838;5058;337;1152
0.008;956;4090;872;1037;872;6078;337;1313
0.007;900;4410;911;987;857;7250;335;1187
0.006;916;5999;1021;1111;961;8545;336;1272
0.005;950;6057;937;1037;957;11467;334;1473
0.004;962;7180;957;1070;881;14731;334;1708
0.003;1090;5255;1002;1094;881;20525;343;1623
0.002;1069;4923;1048;1123;894;39936;334;1954
0.001;1150;6920;1318;1318;1015;114094;333;2904
