;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.8;3476;939;3185;5049;2587
0.775;3542;2699;5010;7283;2785
0.75;3573;4715;6988;7983;3148
0.725;3908;6744;10520;9853;3617
0.7;3589;9383;11581;11784;4025
0.6749999999999999;3637;11905;15371;13655;4829
0.6499999999999999;3808;14853;22157;15088;5747
0.6249999999999999;3703;14926;21010;15372;5742
0.5999999999999999;3704;15039;22935;15031;5774
0.5749999999999998;3736;16149;22673;15277;6072
0.5499999999999998;3754;31299;42282;19616;8651
0.5249999999999998;3866;53050;61596;24463;12981
