;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.01;550.6469345092773;568.9967193603516;633.4858474731445;447.08435821533203;232.94297790527344
0.009000000000000001;501.70703887939453;613.1000823974609;572.5276184082031;400.1586456298828;167.3519287109375
0.008;499.1358413696289;616.5457382202148;493.9114761352539;349.2353286743164;800.5
0.007;491.74925231933594;729.3789978027344;517.5112762451172;359.84276580810547;109.82764434814453
0.006;499.4016571044922;955.5275192260742;533.2071380615234;380.09104919433594;123.29833984375
0.005;505.1233825683594;940.7428436279297;541.3773651123047;403.07810974121094;77.04412078857422
0.004;500.23690032958984;893.889274597168;551.6054763793945;415.68628692626953;106.33934783935547
0.003;497.8319320678711;1014.6475601196289;664.2352447509766;529.2801742553711;199.1325454711914
0.002;490.5547637939453;897.9189300537109;477.35120391845703;381.8655090332031;366.81774139404297
0.001;490.6155242919922;849.6075134277344;473.41539001464844;361.8778762817383;355.73390197753906
